age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,prediction,probability
44,admin.,married,high.school,no,yes,no,cellular,aug,fri,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,0,0.36
50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes,1,0.73
54,self-employed,married,high.school,no,no,no,cellular,aug,tue,119,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,0.33
51,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,393,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,1,0.73
30,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0,0.3
42,housemaid,married,basic.4y,unknown,yes,no,telephone,jun,fri,38,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,0.42
41,technician,married,professional.course,unknown,yes,no,telephone,jun,mon,442,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,1,0.53
47,services,single,basic.9y,no,no,no,cellular,nov,tue,187,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,1,0.68
35,blue-collar,married,basic.6y,no,yes,no,cellular,apr,fri,113,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,0,0.42
58,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,64,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no,0,0.47
50,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,629,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes,1,0.51
41,technician,married,professional.course,no,no,no,telephone,may,tue,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,0.47
38,technician,married,university.degree,no,yes,no,cellular,may,wed,147,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,0,0.39
32,student,single,university.degree,no,no,no,cellular,nov,thu,151,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,0,0.49
21,student,single,high.school,no,no,no,cellular,aug,tue,259,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,no,1,0.67
46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,423,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.65
42,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,888,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,1,0.68
55,services,married,basic.9y,no,no,no,cellular,aug,wed,76,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,0,0.32
29,admin.,single,high.school,no,yes,no,telephone,nov,mon,207,1,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,no,1,0.55
30,blue-collar,single,basic.6y,unknown,yes,no,telephone,jun,wed,100,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,0.41
53,management,married,basic.4y,no,yes,no,cellular,nov,wed,63,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0,0.44
35,management,married,university.degree,no,yes,no,cellular,nov,wed,265,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,1,0.64
46,services,married,professional.course,no,yes,no,telephone,may,tue,273,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.55
30,blue-collar,married,unknown,no,no,no,telephone,may,wed,85,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.27
43,entrepreneur,married,university.degree,unknown,yes,no,cellular,jul,tue,261,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,1,0.67
42,services,married,high.school,unknown,yes,no,cellular,jul,mon,136,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,0,0.46
32,technician,married,professional.course,no,no,no,cellular,jul,tue,711,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,1,0.73
41,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,88,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no,0,0.33
28,admin.,married,university.degree,no,no,no,cellular,may,tue,72,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no,0,0.37
24,services,single,university.degree,no,no,no,cellular,jul,thu,113,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,0,0.36
43,management,married,university.degree,unknown,yes,yes,cellular,apr,fri,307,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,1,0.53
30,admin.,single,university.degree,no,yes,no,cellular,aug,mon,39,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,0,0.35
55,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,tue,63,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,0,0.38
51,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,64,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no,0,0.42
22,student,single,high.school,no,no,yes,cellular,jul,fri,154,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,0,0.46
32,entrepreneur,single,university.degree,no,no,yes,cellular,nov,thu,126,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,0,0.37
43,admin.,married,professional.course,unknown,no,no,cellular,jul,thu,127,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,0,0.3
39,management,married,basic.6y,unknown,no,no,telephone,jun,mon,156,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,0,0.38
52,blue-collar,divorced,unknown,no,no,no,cellular,jul,tue,111,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,0.27
38,technician,single,professional.course,no,yes,no,cellular,may,mon,202,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no,0,0.46
59,retired,married,basic.4y,no,no,no,telephone,apr,tue,353,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no,1,0.59
31,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,159,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.43
76,retired,single,basic.4y,no,no,no,cellular,nov,mon,347,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,1,0.75
44,unknown,single,basic.9y,unknown,yes,no,telephone,jun,mon,76,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,0,0.28
30,blue-collar,married,unknown,no,no,no,telephone,may,fri,85,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,0,0.27
32,services,married,high.school,unknown,no,no,telephone,jun,fri,174,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,0.5
41,unemployed,married,unknown,no,no,no,telephone,jun,fri,280,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,1,0.58
33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,686,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes,1,0.65
59,retired,married,basic.4y,no,yes,no,cellular,aug,fri,94,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,0.35
28,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,225,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,1,0.58
33,blue-collar,single,basic.6y,no,yes,no,cellular,may,fri,474,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,1,0.71
53,services,married,high.school,unknown,yes,no,cellular,aug,thu,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,0,0.38
41,services,married,high.school,no,no,no,cellular,mar,wed,377,6,999,0,nonexistent,-1.8,92.843,-50.0,1.778,5099.1,yes,1,0.67
55,unknown,married,basic.4y,no,no,yes,cellular,jul,thu,185,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0,0.49
45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,121,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,0.47
35,technician,married,professional.course,no,no,no,cellular,jul,thu,126,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,0,0.33
31,services,married,high.school,unknown,no,no,cellular,jul,mon,160,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,0,0.44
53,management,married,university.degree,no,no,no,cellular,aug,mon,313,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,1,0.54
35,technician,single,professional.course,no,yes,no,cellular,may,thu,141,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,0,0.35
45,blue-collar,divorced,basic.6y,unknown,yes,no,cellular,may,thu,219,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,1,0.59
34,housemaid,single,university.degree,no,no,no,telephone,jun,thu,267,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,1,0.68
42,admin.,married,basic.9y,no,no,no,telephone,apr,mon,406,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,1,0.71
36,self-employed,married,basic.9y,no,yes,yes,cellular,nov,thu,151,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,0,0.33
44,admin.,married,high.school,no,no,no,telephone,may,wed,228,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.64
50,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,73,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,0,0.41
36,admin.,married,university.degree,no,yes,no,cellular,sep,fri,355,1,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,no,1,0.77
27,technician,married,professional.course,no,no,no,cellular,jul,thu,102,9,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,0,0.31
40,management,married,unknown,no,no,no,telephone,may,fri,97,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,0.32
25,technician,single,university.degree,no,yes,yes,telephone,jun,mon,35,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,0,0.3
29,management,married,university.degree,no,yes,yes,cellular,aug,tue,116,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,0,0.36
44,admin.,married,high.school,no,no,no,telephone,may,wed,83,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,0.41
57,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,473,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.62
30,admin.,single,high.school,no,yes,no,cellular,jul,wed,605,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,1,0.65
37,self-employed,married,university.degree,no,yes,yes,cellular,aug,wed,585,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,1,0.62
57,technician,married,basic.9y,no,no,no,cellular,jul,tue,94,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,0.45
32,technician,married,professional.course,no,yes,no,cellular,jul,thu,255,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes,1,0.63
54,admin.,married,professional.course,no,no,no,cellular,nov,tue,1868,2,10,1,success,-1.1,94.767,-50.8,1.035,4963.6,yes,1,0.62
58,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,846,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes,1,0.66
29,admin.,single,university.degree,unknown,yes,no,cellular,aug,tue,158,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,0.45
60,services,married,high.school,unknown,no,no,cellular,aug,tue,73,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,0,0.35
27,unemployed,single,university.degree,no,no,no,telephone,jun,wed,404,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,1,0.53
30,unemployed,married,high.school,no,yes,no,cellular,jul,tue,383,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,1,0.62
42,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,51,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,0.48
48,housemaid,married,high.school,no,no,no,telephone,jun,tue,87,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,0.43
35,admin.,single,university.degree,no,no,no,cellular,aug,mon,167,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,0,0.4
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.46
57,retired,unknown,basic.4y,no,no,no,telephone,may,tue,673,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.7
30,services,married,high.school,no,no,no,telephone,jun,mon,151,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,0,0.39
28,technician,single,high.school,no,yes,yes,cellular,apr,thu,48,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,0,0.43
34,services,married,high.school,unknown,yes,no,telephone,may,tue,309,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.59
42,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,236,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,1,0.62
30,admin.,single,university.degree,no,yes,no,cellular,nov,tue,288,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,1,0.7
27,student,single,basic.9y,no,yes,no,cellular,aug,wed,111,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,no,0,0.35
23,entrepreneur,married,university.degree,no,yes,no,cellular,aug,thu,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,0,0.41
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.53
59,management,married,basic.4y,unknown,yes,yes,telephone,may,tue,318,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.42
31,self-employed,single,university.degree,no,no,no,cellular,aug,mon,209,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6,no,1,0.61
43,self-employed,married,basic.9y,no,no,no,telephone,may,wed,173,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,1,0.55
52,technician,married,high.school,no,yes,no,telephone,may,mon,503,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.55
26,housemaid,single,high.school,unknown,yes,yes,telephone,jul,thu,127,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,0,0.36
24,blue-collar,married,basic.9y,no,yes,yes,telephone,may,fri,101,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,0,0.28
35,blue-collar,single,basic.6y,no,no,no,cellular,nov,thu,370,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no,1,0.64
59,technician,married,professional.course,no,no,no,cellular,jun,thu,1207,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,yes,1,0.61
28,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,1,0.63
37,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,211,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.58
46,admin.,married,professional.course,no,no,no,cellular,apr,fri,609,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,1,0.6
26,technician,single,university.degree,no,yes,no,cellular,jul,fri,806,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes,1,0.57
40,management,married,university.degree,no,yes,no,cellular,aug,thu,77,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,0.31
56,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,335,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,1,0.72
40,management,married,university.degree,no,yes,no,cellular,may,tue,459,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,1,0.63
29,admin.,single,university.degree,no,yes,yes,telephone,may,wed,266,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,0.4
28,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,225,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no,1,0.59
48,technician,single,unknown,unknown,no,no,telephone,may,thu,257,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,0,0.47
28,unemployed,single,university.degree,no,yes,no,cellular,may,mon,434,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no,1,0.53
33,technician,married,professional.course,no,no,no,telephone,may,thu,191,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,0,0.41
56,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,thu,82,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,0,0.38
57,retired,married,basic.9y,no,no,no,cellular,aug,tue,388,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,1,0.57
24,admin.,single,high.school,unknown,yes,no,telephone,jul,thu,15,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,0,0.37
39,self-employed,married,university.degree,no,no,no,telephone,may,wed,17,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,0,0.32
40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.36
54,blue-collar,divorced,unknown,unknown,yes,no,telephone,jun,thu,339,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0,0.48
25,admin.,single,university.degree,no,no,no,telephone,jun,wed,188,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,0.49
36,blue-collar,married,basic.9y,unknown,no,no,cellular,may,wed,951,3,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes,1,0.71
48,admin.,married,university.degree,no,yes,no,cellular,nov,wed,288,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,1,0.73
32,admin.,single,university.degree,no,yes,no,cellular,aug,thu,206,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,1,0.58
48,admin.,married,university.degree,no,yes,yes,cellular,jul,fri,154,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,0,0.4
30,technician,married,university.degree,unknown,yes,no,telephone,may,wed,72,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,0,0.32
41,admin.,divorced,high.school,no,no,no,telephone,may,tue,293,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.73
54,retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,141,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0,0.43
29,admin.,single,university.degree,no,yes,no,cellular,mar,mon,215,1,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7,yes,1,0.55
28,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,102,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,0,0.39
30,admin.,married,university.degree,no,no,no,telephone,may,tue,178,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.44
54,admin.,married,university.degree,no,yes,no,telephone,may,thu,461,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,1,0.6
33,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,tue,82,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.43
38,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,204,1,11,1,success,-1.8,92.893,-46.2,1.281,5099.1,no,1,0.74
46,housemaid,divorced,basic.6y,no,yes,no,telephone,jun,tue,143,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,0.44
38,admin.,divorced,university.degree,no,no,no,telephone,jun,fri,50,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,0.31
38,services,married,high.school,no,no,no,cellular,jul,thu,81,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,0,0.36
33,blue-collar,married,high.school,no,yes,no,telephone,may,wed,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.63
25,admin.,married,university.degree,no,no,no,telephone,may,fri,56,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,0,0.35
29,admin.,single,university.degree,unknown,yes,no,cellular,may,fri,104,10,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,0,0.38
60,technician,married,professional.course,unknown,no,no,telephone,jul,tue,55,15,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,0.23
57,services,married,high.school,no,yes,no,cellular,may,mon,126,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no,0,0.39
36,admin.,single,university.degree,no,no,no,cellular,aug,wed,142,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,0,0.37
54,admin.,married,university.degree,no,no,no,cellular,jul,thu,9,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,0,0.29
25,self-employed,single,university.degree,no,no,no,telephone,may,tue,247,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,1,0.66
41,entrepreneur,married,university.degree,no,no,no,telephone,may,wed,130,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,0.38
54,management,married,university.degree,no,yes,no,cellular,apr,tue,336,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,1,0.57
39,blue-collar,divorced,basic.6y,unknown,no,no,cellular,may,wed,101,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,0,0.38
55,entrepreneur,divorced,university.degree,unknown,no,no,cellular,may,fri,56,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no,0,0.35
40,admin.,married,high.school,no,no,no,telephone,may,mon,160,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,0.44
43,unemployed,married,university.degree,unknown,yes,no,telephone,may,tue,424,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.58
81,retired,married,basic.4y,no,no,no,cellular,may,mon,617,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes,1,0.78
43,technician,divorced,professional.course,no,yes,no,cellular,may,mon,143,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no,0,0.35
34,admin.,married,high.school,no,yes,no,cellular,jun,wed,238,1,6,2,success,-1.7,94.055,-39.8,0.704,4991.6,yes,1,0.64
42,technician,married,high.school,no,yes,no,cellular,aug,tue,188,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,0,0.45
30,services,married,basic.6y,no,no,no,cellular,nov,tue,154,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,1,0.51
24,services,single,basic.9y,unknown,no,yes,telephone,jun,mon,222,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,1,0.56
51,unknown,married,unknown,unknown,yes,no,cellular,aug,fri,10,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,0.22
42,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,632,5,10,1,success,-1.8,92.893,-46.2,1.344,5099.1,no,1,0.67
51,self-employed,married,basic.4y,unknown,no,yes,telephone,may,wed,91,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,0.27
38,blue-collar,married,high.school,unknown,no,no,cellular,jul,mon,90,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0,0.25
45,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,mon,187,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,0,0.41
51,admin.,divorced,university.degree,unknown,no,no,telephone,aug,fri,86,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,0.39
44,admin.,married,university.degree,unknown,no,no,telephone,may,fri,165,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,0.34
52,technician,married,basic.9y,no,yes,no,cellular,nov,fri,102,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,0,0.38
49,admin.,married,university.degree,no,yes,no,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1,0.6
49,technician,married,professional.course,no,yes,no,telephone,may,tue,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,0.35
52,unknown,married,basic.6y,no,no,no,telephone,may,fri,54,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,0,0.29
32,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,73,4,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,0,0.22
